X:/My Documents/Wegennetwerk/Prog/roadInput.txt X:/My Documents/Wegennetwerk/Prog/maintenanceInput.txt
Routes for this network:
0 0 0 8 
0 0 4 
0 3.1953 0.0046956 
0 5.57172 0.0282774 

0 0 0 8 
0 0 4 
0 3.19413 0.00586652 
0 5.56871 0.0312857 

0 0 0 8 
0 0 4 
0 3.19296 0.00703625 
0 5.56571 0.0342939 

0 0 0 8 
0 0 4 
0 3.1918 0.00820479 
0 5.5627 0.037302 

0 0 0 8 
0 0 4 
0 3.19063 0.00937213 
0 5.55969 0.04031 

0 0 0 8 
0 0 4 
0 3.18946 0.0105383 
0 5.55668 0.043318 

0.000672365 0.00307237 0 7.99626 
0 0 4 
0 3.18904 0.0109551 
0 5.55669 0.0433067 

0.000671183 0.00324747 3.31788e-07 7.99608 
0 0 4 
0 3.18864 0.0113637 
0 5.5567 0.0432955 

0.000670003 0.00342297 6.6298e-07 7.99591 
0 0 4 
0 3.18823 0.0117719 
0 5.55672 0.0432842 

0.000668824 0.00359886 9.93577e-07 7.99573 
0 0 4 
0 3.18782 0.0121798 
0 5.55673 0.043273 

0.000667647 0.00377514 1.32358e-06 7.99556 
0 0 4 
0 3.18741 0.0125873 
0 5.55674 0.0432617 

0.000666473 0.0039518 1.65299e-06 7.99538 
0 0 4 
0 3.18701 0.0129946 
0 5.55675 0.0432505 

0.0006653 0.00412885 1.9818e-06 7.9952 
0 0 4 
0 3.1866 0.0134015 
0 5.55676 0.0432392 

0.000664129 0.00430628 2.31003e-06 7.99503 
0 0 4 
0 3.18619 0.0138081 
0 5.55677 0.043228 

0.00066296 0.00448409 2.63766e-06 7.99485 
0 0 4 
0 3.18579 0.0142143 
0 5.55678 0.0432167 

0.000661793 0.00466227 2.9647e-06 7.99467 
0 0 4 
0 3.18538 0.0146203 
0 5.55679 0.0432055 


0 13
0 15
0 19
0 25
0 37
0 39
0 44
0 46
1 2
1 4
1 20
1 22
1 31
1 33
1 43
1 45
2 2
2 4
2 6
2 12
2 18
2 49
3 2
3 4
3 13
3 15
3 25
3 27
3 37
3 43
3 49
4 2
4 4
4 7
4 9
4 13
